trade_id,sess,expiry,spot,settle,vix,rsi,em,short_call,long_call,short_put,long_put,fill_sc,fill_lc,fill_sp,fill_lp,credit_pts,max_risk,lot,gross,brokerage,stt,exchange_fees,gst,stamp_duty,sebi,slippage,total_costs,net,breach_side
82,2023-09-21,2023-09-28,19742.35,19523.55,11.13,58.26926707321386,257.18,20200.0,20400.0,19300.0,19100.0,6.33,3.36,11.96,5.87,9.06,9547.0,50,453.0,80.0,0.57,0.69,14.52,0.01,0.0,20.0,115.8,337.2,none
83,2023-10-05,2023-10-12,19545.75,19794.0,11.66,40.14982959044662,266.74,20050.0,20250.0,19050.0,18850.0,2.39,1.7,7.08,3.51,4.26,9787.0,50,213.0,80.0,0.3,0.37,14.47,0.01,0.0,20.0,115.14,97.86,none
84,2023-10-12,2023-10-19,19794.0,19624.7,10.99,55.720202344988714,254.61,20250.0,20450.0,19350.0,19150.0,5.13,2.11,11.12,5.82,8.32,9584.0,50,416.0,80.0,0.51,0.6,14.51,0.01,0.0,20.0,115.63,300.37,none
85,2023-11-16,2023-11-23,19765.2,19802.0,11.14,59.633225854674315,257.71,20250.0,20450.0,19300.0,19100.0,3.79,1.86,7.88,4.26,5.55,9722.5,50,277.5,80.0,0.36,0.44,14.48,0.01,0.0,20.0,115.3,162.2,none
86,2024-01-04,2024-01-11,21658.6,21647.2,14.1,65.63351030826476,357.43,22300.0,22500.0,21000.0,20800.0,4.79,2.61,5.93,3.81,4.3,9785.0,50,215.0,80.0,0.33,0.43,14.48,0.01,0.0,20.0,115.25,99.75,none
87,2024-01-11,2024-01-18,21647.2,21462.25,12.97,63.88207452713414,328.61,22250.0,22450.0,21050.0,20850.0,6.23,2.86,10.92,5.17,9.12,9544.0,50,456.0,80.0,0.54,0.63,14.51,0.01,0.0,20.0,115.69,340.31,none
88,2024-02-01,2024-02-08,21697.45,21717.95,16.05,55.517399350132656,407.59,22450.0,22650.0,20950.0,20750.0,8.62,4.51,13.51,7.52,10.1,9495.0,50,505.0,80.0,0.69,0.85,14.55,0.02,0.0,20.0,116.12,388.88,none
89,2024-02-08,2024-02-15,21717.95,21910.75,15.51,58.904552686444525,394.25,22450.0,22650.0,21000.0,20800.0,11.96,4.86,15.15,7.97,14.28,9286.0,50,714.0,80.0,0.85,1.0,14.58,0.02,0.0,20.0,116.45,597.55,none
90,2024-02-15,2024-02-22,21910.75,22217.45,15.44,55.504766979533684,395.95,22600.0,22800.0,21200.0,21000.0,7.28,2.91,10.47,6.27,8.57,9571.5,50,428.5,80.0,0.55,0.67,14.52,0.01,0.0,20.0,115.76,312.74,none
91,2024-02-22,2024-02-29,22217.45,21982.8,15.93,58.42038149298274,414.24,22950.0,23150.0,21450.0,21250.0,5.63,2.86,11.91,6.52,8.16,9592.0,50,408.0,80.0,0.55,0.67,14.52,0.01,0.0,20.0,115.76,292.24,none
92,2024-02-29,2024-03-07,21982.8,22493.55,16.33,52.08323644086654,420.15,22750.0,22950.0,21250.0,21050.0,6.28,3.16,9.37,5.47,7.02,9649.0,50,351.0,80.0,0.49,0.61,14.51,0.01,0.0,20.0,115.62,235.38,none
93,2024-03-14,2024-03-21,22146.65,22011.95,14.43,47.37572820191009,374.04,22800.0,23000.0,21450.0,21250.0,6.93,2.91,9.37,5.01,8.38,9581.0,50,419.0,80.0,0.51,0.61,14.51,0.01,0.0,20.0,115.64,303.36,none
94,2024-04-18,2024-04-25,21995.85,22570.35,12.62,45.22505324705644,324.89,22600.0,22800.0,21400.0,21200.0,14.56,5.62,19.79,11.89,16.84,9158.0,50,842.0,80.0,1.07,1.3,14.63,0.03,0.0,20.0,117.03,724.97,none
95,2024-05-02,2024-05-09,22648.2,21957.5,12.87,57.747174753823145,341.15,23250.0,23450.0,22050.0,21850.0,6.63,2.36,10.82,6.62,8.47,4788.25,25,-2100.75,80.0,0.27,1.49,14.67,0.01,0.0,10.0,106.44,-2207.19,put
96,2024-05-09,2024-05-16,21957.5,22403.85,17.08,47.328232384410605,438.94,22750.0,22950.0,21150.0,20950.0,8.27,4.91,10.57,6.42,7.51,4812.25,25,187.75,80.0,0.29,0.38,14.47,0.01,0.0,10.0,105.15,82.6,none
97,2024-06-06,2024-06-13,22821.4,23398.9,18.89,51.29545931764194,504.56,23750.0,23950.0,21900.0,21700.0,36.09,34.25,25.62,17.75,9.71,4757.25,25,242.75,80.0,0.96,1.42,14.66,0.04,0.0,10.0,107.08,135.67,none
98,2024-06-20,2024-06-27,23567.0,24044.5,13.71,61.63323149881307,378.16,24250.0,24450.0,22900.0,22700.0,4.09,2.26,11.32,6.47,6.68,4833.0,25,167.0,80.0,0.24,0.3,14.45,0.01,0.0,10.0,105.0,62.0,none
99,2024-06-27,2024-07-04,24044.5,24302.15,14.05,66.6508491157643,395.39,24750.0,24950.0,23350.0,23150.0,4.69,2.41,21.04,12.89,10.43,4739.25,25,260.75,80.0,0.4,0.51,14.49,0.01,0.0,10.0,105.42,155.33,none
100,2024-07-25,2024-08-01,24406.1,25010.9,11.76,60.54924205658766,335.93,25000.0,25200.0,23800.0,23600.0,8.77,3.21,18.79,9.63,14.72,4632.0,25,95.5,80.0,0.43,0.64,14.52,0.01,0.0,10.0,105.6,-10.1,call
101,2024-08-14,2024-08-22,24143.75,24811.5,16.17,45.72448596188364,456.93,24950.0,25150.0,23300.0,23100.0,4.29,2.71,15.3,9.53,7.35,4816.25,25,183.75,80.0,0.31,0.4,14.47,0.01,0.0,10.0,105.19,78.56,none
102,2024-08-22,2024-08-29,24811.5,25151.95,13.33,59.621428656861966,387.1,25500.0,25700.0,24100.0,23900.0,4.24,2.21,9.67,7.07,4.63,4884.25,25,115.75,80.0,0.22,0.29,14.45,0.01,0.0,10.0,104.97,10.78,none
103,2024-08-29,2024-09-05,25151.95,25145.1,13.95,65.4184616458731,410.66,25900.0,26100.0,24400.0,24200.0,2.64,1.65,9.42,6.57,3.84,4904.0,25,96.0,80.0,0.19,0.25,14.45,0.01,0.0,10.0,104.89,-8.89,none
104,2024-09-05,2024-09-12,25145.1,25388.9,14.38,66.04122497386456,423.21,25900.0,26100.0,24400.0,24200.0,3.39,2.06,8.42,5.87,3.88,4903.0,25,97.0,80.0,0.18,0.25,14.44,0.01,0.0,10.0,104.88,-7.88,none
105,2024-09-12,2024-09-19,25388.9,25415.8,13.63,52.87126375546594,405.02,26100.0,26300.0,24650.0,24450.0,5.38,3.26,19.74,13.14,8.72,4782.0,25,218.0,80.0,0.39,0.52,14.49,0.01,0.0,10.0,105.42,112.58,none
106,2024-09-19,2024-09-26,25415.8,26216.05,13.37,62.954284327108226,397.72,26150.0,26350.0,24700.0,24500.0,5.68,3.46,20.04,14.09,8.17,4795.75,25,-1447.0,80.0,0.4,1.37,14.65,0.01,0.0,10.0,106.43,-1553.43,call
107,2024-10-03,2024-10-10,25250.1,24998.45,11.99,60.78981739837023,354.34,25900.0,26100.0,24600.0,24400.0,23.83,13.24,28.81,19.36,20.04,4499.0,25,501.0,80.0,1.32,1.07,14.59,0.02,0.0,10.0,107.0,394.0,none
108,2024-10-10,2024-10-17,24998.45,24749.85,14.12,42.01056815954167,413.13,25750.0,25950.0,24250.0,24050.0,8.77,4.76,16.4,9.43,10.98,4725.5,25,274.5,80.0,0.63,0.49,14.49,0.01,0.0,10.0,105.62,168.88,none
109,2024-10-17,2024-10-24,24749.85,24399.4,13.05,42.749864450158896,378.03,25450.0,25650.0,24050.0,23850.0,10.67,5.82,16.3,9.93,11.22,4719.5,25,280.5,80.0,0.67,0.53,14.5,0.01,0.0,10.0,105.72,174.78,none
110,2024-11-07,2024-11-14,24199.35,23532.7,14.87,46.05006762928595,421.17,24950.0,25150.0,23450.0,23250.0,9.47,5.37,17.85,10.38,11.57,4710.75,25,289.25,80.0,0.68,0.54,14.5,0.01,0.0,10.0,105.73,183.52,none
111,2024-11-28,2024-12-05,23914.15,24708.4,14.63,52.186298101050234,409.48,24650.0,24850.0,23200.0,23000.0,17.15,7.62,15.15,9.18,15.5,4612.5,25,-1072.5,80.0,0.81,1.34,14.64,0.01,0.0,10.0,106.81,-1179.31,call
112,2024-12-05,2024-12-12,24708.4,24548.7,14.45,55.890984817066744,417.88,25450.0,25650.0,23950.0,23750.0,16.45,9.63,36.99,22.42,21.39,4465.25,25,534.75,80.0,1.34,1.07,14.59,0.02,0.0,10.0,107.02,427.73,none
113,2024-12-12,2024-12-19,24548.7,23951.7,13.27,58.28296645386396,381.27,25250.0,25450.0,23850.0,23650.0,11.47,4.96,12.51,6.97,12.05,4698.75,25,301.25,80.0,0.6,0.45,14.48,0.01,0.0,10.0,105.54,195.71,none
114,2024-12-26,2025-01-02,23750.2,24188.65,13.18,38.18226969848414,366.37,24400.0,24600.0,23100.0,22900.0,15.65,6.22,20.64,10.83,19.24,13557.0,75,1443.0,80.0,2.72,2.0,14.76,0.04,0.0,30.0,129.53,1313.47,none
115,2025-01-02,2025-01-09,24188.65,23526.5,14.51,40.678719182310715,410.79,24950.0,25150.0,23450.0,23250.0,5.48,2.61,22.38,13.24,12.01,14099.25,75,900.75,80.0,2.09,1.64,14.7,0.04,0.0,30.0,128.46,772.29,none
116,2025-01-09,2025-01-16,23526.5,23311.8,14.47,42.63405923231433,398.44,24250.0,24450.0,22800.0,22600.0,12.51,5.47,13.96,7.67,13.33,14000.25,75,999.75,80.0,1.99,1.49,14.67,0.03,0.0,30.0,128.17,871.58,none
117,2025-01-23,2025-01-30,23205.35,23249.5,16.77,39.22961634094112,455.47,24050.0,24250.0,22400.0,22200.0,8.27,4.41,15.95,9.28,10.53,4736.75,25,263.25,80.0,0.61,0.47,14.49,0.01,0.0,10.0,105.58,157.67,none
118,2025-01-30,2025-02-06,23249.5,23603.35,18.64,43.58672801076352,507.22,24150.0,24350.0,22350.0,22150.0,48.9,29.04,47.61,32.05,35.42,12343.5,75,2656.5,80.0,7.24,5.91,15.47,0.14,0.01,30.0,138.76,2517.74,none
119,2025-02-06,2025-02-13,23603.35,23031.4,14.08,55.61172802748801,388.97,24300.0,24500.0,22900.0,22700.0,14.71,6.82,19.19,10.53,16.55,13758.75,75,1241.25,80.0,2.54,1.92,14.75,0.04,0.0,30.0,129.25,1112.0,none
120,2025-02-13,2025-02-20,23031.4,22913.15,14.9,40.91065578931939,401.65,23750.0,23950.0,22300.0,22100.0,12.11,5.32,15.1,8.02,13.87,13959.75,75,1040.25,80.0,2.04,1.52,14.67,0.03,0.0,30.0,128.27,911.98,none
121,2025-03-20,2025-03-27,23190.65,23591.95,13.3,56.03034430433071,361.0,23850.0,24050.0,22550.0,22350.0,5.18,2.81,12.51,7.72,7.16,14463.0,75,537.0,80.0,1.33,1.06,14.59,0.02,0.0,30.0,127.0,410.0,none
122,2025-04-30,2025-05-08,24334.2,24273.8,17.37,65.03992690743334,494.72,25200.0,25400.0,23450.0,23250.0,9.57,4.41,55.38,41.67,18.87,13584.75,75,1415.25,80.0,4.87,4.16,15.15,0.1,0.01,30.0,134.3,1280.95,none
123,2025-05-08,2025-05-15,24273.8,25062.1,19.06,65.04295910639829,541.5,25250.0,25450.0,23300.0,23100.0,5.63,3.41,96.16,83.3,15.08,13869.0,75,1131.0,80.0,7.63,7.07,15.67,0.2,0.01,30.0,140.59,990.41,none
124,2025-05-15,2025-05-22,25062.1,24609.7,17.23,61.49006904368925,505.41,25950.0,26150.0,24150.0,23950.0,8.27,4.46,28.66,20.61,11.86,14110.5,75,889.5,80.0,2.77,2.33,14.82,0.06,0.0,30.0,129.98,759.52,none
125,2025-05-22,2025-05-29,24609.7,24833.6,17.55,59.86782699237355,505.5,25500.0,25700.0,23700.0,23500.0,13.96,7.47,14.76,10.13,11.12,14166.0,75,834.0,80.0,2.15,1.74,14.71,0.04,0.0,30.0,128.65,705.35,none
126,2025-05-29,2025-06-05,24833.6,24750.9,18.02,56.052965904535746,523.76,25800.0,26000.0,23900.0,23700.0,12.36,6.87,10.12,6.52,9.09,14318.25,75,681.75,80.0,1.69,1.35,14.64,0.03,0.0,30.0,127.71,554.04,none
127,2025-06-05,2025-06-12,24750.9,24888.2,15.75,52.34091238730007,456.26,25550.0,25750.0,23950.0,23750.0,12.51,5.77,15.65,9.58,12.81,14039.25,75,960.75,80.0,2.11,1.63,14.69,0.03,0.0,30.0,128.48,832.27,none
128,2025-06-12,2025-06-19,24888.2,24793.25,13.67,62.540138423518954,398.2,25600.0,25800.0,24150.0,23950.0,11.86,5.57,16.6,9.88,13.01,14024.25,75,975.75,80.0,2.13,1.65,14.7,0.03,0.0,30.0,128.52,847.23,none
129,2025-06-19,2025-06-26,24793.25,25549.0,14.28,52.167620613579764,414.38,25550.0,25750.0,24050.0,23850.0,10.52,5.06,33.45,23.17,15.74,13819.5,75,1180.5,80.0,3.3,2.71,14.89,0.06,0.01,30.0,130.96,1049.54,none
130,2025-06-26,2025-07-03,25549.0,25405.3,12.96,60.94054446849849,387.54,26250.0,26450.0,24850.0,24650.0,6.98,3.26,26.27,16.9,13.09,14018.25,75,981.75,80.0,2.49,2.0,14.76,0.05,0.0,30.0,129.31,852.44,none
131,2025-07-03,2025-07-10,25405.3,25355.25,12.45,61.344148533251044,370.2,26050.0,26250.0,24750.0,24550.0,12.56,5.57,13.16,7.97,12.18,14086.5,75,913.5,80.0,1.93,1.47,14.67,0.03,0.0,30.0,128.1,785.4,none
132,2025-07-10,2025-07-17,25355.25,25111.45,11.94,60.61161780024753,354.33,26000.0,26200.0,24700.0,24500.0,8.92,4.06,11.22,7.32,8.76,14343.0,75,657.0,80.0,1.51,1.18,14.61,0.03,0.0,30.0,127.33,529.67,none
133,2025-07-17,2025-07-24,25111.45,25062.1,11.24,51.047264820045,330.35,25700.0,25900.0,24500.0,24300.0,9.22,4.26,10.77,6.57,9.16,14313.0,75,687.0,80.0,1.5,1.16,14.61,0.02,0.0,30.0,127.29,559.71,none
