strategy,initial_capital,trade_id,entry_date,expiry_date,net_pnl,costs,equity_after,peak_equity,current_dd_pct
IRON_CONDOR,50000.0,IRON_CONDOR_2020-03-13_2020-03-19,2020-03-13,2020-03-19,-2424.18,1400.43,31526.02,50000.0,36.95
IRON_CONDOR,50000.0,IRON_CONDOR_2020-04-24_2020-04-30,2020-04-24,2020-04-30,9095.6,1280.65,40621.62,50000.0,18.76
IRON_CONDOR,50000.0,IRON_CONDOR_2020-06-05_2020-06-11,2020-06-05,2020-06-11,-4049.19,1165.44,36572.43,50000.0,26.86
IRON_CONDOR,50000.0,IRON_CONDOR_2020-06-12_2020-06-18,2020-06-12,2020-06-18,-3920.32,1182.82,32652.11,50000.0,34.7
IRON_CONDOR,50000.0,IRON_CONDOR_2020-06-26_2020-07-02,2020-06-26,2020-07-02,-16323.76,1278.76,16328.35,50000.0,67.34
IRON_CONDOR,75000.0,IRON_CONDOR_2020-01-31_2020-02-06,2020-01-31,2020-02-06,-1086.21,932.46,73913.79,75000.0,1.45
IRON_CONDOR,75000.0,IRON_CONDOR_2020-02-24_2020-02-27,2020-02-24,2020-02-27,-8680.89,903.39,65232.9,75000.0,13.02
IRON_CONDOR,75000.0,IRON_CONDOR_2020-02-28_2020-03-05,2020-02-28,2020-03-05,-6282.7,841.45,58950.2,75000.0,21.4
IRON_CONDOR,75000.0,IRON_CONDOR_2020-03-13_2020-03-19,2020-03-13,2020-03-19,-2424.18,1400.43,56526.02,75000.0,24.63
IRON_CONDOR,75000.0,IRON_CONDOR_2020-04-24_2020-04-30,2020-04-24,2020-04-30,9095.6,1280.65,65621.62,75000.0,12.5
IRON_CONDOR,75000.0,IRON_CONDOR_2020-06-05_2020-06-11,2020-06-05,2020-06-11,-4049.19,1165.44,61572.43,75000.0,17.9
IRON_CONDOR,75000.0,IRON_CONDOR_2020-06-12_2020-06-18,2020-06-12,2020-06-18,-3920.32,1182.82,57652.11,75000.0,23.13
IRON_CONDOR,75000.0,IRON_CONDOR_2020-06-26_2020-07-02,2020-06-26,2020-07-02,-16323.76,1278.76,41328.35,75000.0,44.9
IRON_CONDOR,75000.0,IRON_CONDOR_2020-09-25_2020-10-01,2020-09-25,2020-10-01,-9044.29,1034.29,32284.06,75000.0,56.95
IRON_CONDOR,75000.0,IRON_CONDOR_2020-10-05_2020-10-08,2020-10-05,2020-10-08,-17804.2,1094.2,14479.86,75000.0,80.69
IRON_CONDOR,100000.0,IRON_CONDOR_2020-01-31_2020-02-06,2020-01-31,2020-02-06,-1086.21,932.46,98913.79,100000.0,1.09
IRON_CONDOR,100000.0,IRON_CONDOR_2020-02-24_2020-02-27,2020-02-24,2020-02-27,-8680.89,903.39,90232.9,100000.0,9.77
IRON_CONDOR,100000.0,IRON_CONDOR_2020-02-28_2020-03-05,2020-02-28,2020-03-05,-6282.7,841.45,83950.2,100000.0,16.05
IRON_CONDOR,100000.0,IRON_CONDOR_2020-03-13_2020-03-19,2020-03-13,2020-03-19,-2424.18,1400.43,81526.02,100000.0,18.47
IRON_CONDOR,100000.0,IRON_CONDOR_2020-04-24_2020-04-30,2020-04-24,2020-04-30,9095.6,1280.65,90621.62,100000.0,9.38
