signal_timestamp,order_timestamp,fill_timestamp,signal_date,execution_date,year,month,expiry_date,exit_date,exit_reason,dte_sessions,vix,signal_spot,exec_spot,type,long_strike,short_strike,wing_width,strike_offset,long_raw_price,short_raw_price,long_fill_price,short_fill_price,debit_pts,lot_size,capital_required_inr,settlement_price,exit_spread_val,gross_payoff_inr,statutory_costs_inr,net_pnl_inr,is_win,cum_net_pnl,candidate_id,candidate_name,in_primary_5y,strategy_source
2020-11-24 15:30:00,2020-11-25 09:15:00,2020-11-25 09:15:00,2020-11-24,2020-11-25,2020,2020-11,2020-11-26,2020-11-26,EXPIRY_SETTLEMENT,1,20.8,13055.15,13130.0,BULL_CALL,13200.0,13350.0,150.0,50.0,44.7,7.7,44.8,7.6,37.2,75,2790.0,12987.0,0.0,-2790.0,49.98,-2839.98,0,-121.44999999999845,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2020-12-28 15:30:00,2020-12-29 09:15:00,2020-12-29 09:15:00,2020-12-28,2020-12-29,2020,2020-12,2020-12-31,2020-12-31,EXPIRY_SETTLEMENT,2,19.97,13873.2,13910.35,BULL_CALL,13950.0,14100.0,150.0,50.0,65.5,25.5,65.6,25.4,40.2,75,3015.0,13981.75,31.75,-633.75,56.96,-690.71,0,-812.1599999999985,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2021-01-08 15:30:00,2021-01-11 09:15:00,2021-01-11 09:15:00,2021-01-08,2021-01-11,2021,2021-01,2021-01-14,2021-01-14,EXPIRY_SETTLEMENT,3,20.62,14347.25,14474.05,BULL_CALL,14500.0,14650.0,150.0,50.0,53.0,15.0,53.1,14.9,38.2,75,2865.0,14595.6,95.6,4305.0,64.23,4240.77,1,3428.610000000002,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2021-02-22 15:30:00,2021-02-23 09:15:00,2021-02-23 09:15:00,2021-02-22,2021-02-23,2021,2021-02,2021-02-25,2021-02-25,EXPIRY_SETTLEMENT,2,22.25,14675.7,14782.25,BEAR_PUT,14750.0,14600.0,150.0,50.0,116.0,78.9,116.1,78.8,37.3,75,2797.5,15097.35,0.0,-2797.5,59.8,-2857.3,0,571.3100000000018,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2021-02-26 15:30:00,2021-03-01 09:15:00,2021-03-01 09:15:00,2021-02-26,2021-03-01,2021,2021-03,2021-03-04,2021-03-04,EXPIRY_SETTLEMENT,3,22.89,14529.15,14702.5,BEAR_PUT,14650.0,14500.0,150.0,50.0,150.05,103.35,150.15,103.25,46.9,75,3517.5,15080.75,0.0,-3517.5,63.61,-3581.11,0,-3009.7999999999984,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2021-03-17 15:30:00,2021-03-18 09:15:00,2021-03-18 09:15:00,2021-03-17,2021-03-18,2021,2021-03,2021-03-25,2021-03-25,EXPIRY_SETTLEMENT,5,20.19,14721.3,14855.5,BEAR_PUT,14800.0,14650.0,150.0,50.0,155.0,98.1,155.1,98.0,57.1,75,4282.5,14324.9,150.0,6967.5,143.39,6824.11,1,3814.3100000000013,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2021-04-28 15:30:00,2021-04-29 09:15:00,2021-04-29 09:15:00,2021-04-28,2021-04-29,2021,2021-04,2021-05-06,2021-05-06,EXPIRY_SETTLEMENT,5,23.08,14864.55,14979.0,BULL_CALL,15050.0,15200.0,150.0,50.0,120.0,60.55,120.1,60.45,59.65,75,4473.75,14724.8,0.0,-4473.75,58.31,-4532.06,0,-717.7499999999991,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2021-05-18 15:30:00,2021-05-19 09:15:00,2021-05-19 09:15:00,2021-05-18,2021-05-19,2021,2021-05,2021-05-20,2021-05-20,EXPIRY_SETTLEMENT,1,19.61,15108.1,15058.6,BULL_CALL,15100.0,15250.0,150.0,50.0,80.0,17.1,80.1,17.0,63.1,75,4732.5,14906.05,0.0,-4732.5,52.48,-4784.98,0,-5502.729999999999,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2021-06-03 15:30:00,2021-06-04 09:15:00,2021-06-04 09:15:00,2021-06-03,2021-06-04,2021,2021-06,2021-06-10,2021-06-10,EXPIRY_SETTLEMENT,4,17.21,15690.35,15712.5,BULL_CALL,15750.0,15900.0,150.0,50.0,110.0,39.7,110.1,39.6,70.5,75,5287.5,15737.75,0.0,-5287.5,55.94,-5343.44,0,-10846.169999999998,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
2021-08-03 15:30:00,2021-08-04 09:15:00,2021-08-04 09:15:00,2021-08-03,2021-08-04,2021,2021-08,2021-08-05,2021-08-05,EXPIRY_SETTLEMENT,1,12.81,16130.75,16195.25,BULL_CALL,16250.0,16400.0,150.0,50.0,24.0,9.0,24.1,8.9,15.2,50,760.0,16294.6,44.6,1470.0,52.6,1417.4,1,-9428.769999999999,Candidate HF-2,Conviction Breakout Debit Spread (ATR >= 0.50),0,
