trade_id,candidate,sess,expiry,spot,settle,vix,rsi,em,lot,structure,spread_type,short_strike,wing_strike,short_fill,wing_fill,credit_pts,wing_width,max_risk,gross,brokerage,stt,exchange_fees,gst,stamp_duty,sebi,slippage,total_costs,net
49,C1_TREND_AUTO_1.8SD_W200,2023-08-24,2023-08-31,19386.7,19253.8,11.73,49.53187479124998,266.16,50,spread,BULL_PUT,18900.0,18700.0,7.53,3.46,4.07,200.0,9796.5,203.5,40.0,0.24,0.27,7.25,0.01,0.0,10.0,57.77,145.73
50,C1_TREND_AUTO_1.8SD_W200,2023-08-31,2023-09-07,19253.8,19727.05,11.8,46.10103521415654,265.91,50,spread,BEAR_CALL,19750.0,19950.0,5.03,2.11,2.92,200.0,9854.0,146.0,40.0,0.16,0.18,7.23,0.0,0.0,10.0,57.57,88.43
51,C1_TREND_AUTO_1.8SD_W200,2023-09-07,2023-09-14,19727.05,20103.1,10.68,59.0962898609284,246.59,50,spread,BULL_PUT,19300.0,19100.0,9.32,5.27,4.05,200.0,9797.5,202.5,40.0,0.29,0.36,7.27,0.01,0.0,10.0,57.93,144.57
52,C1_TREND_AUTO_1.8SD_W200,2023-09-21,2023-09-28,19742.35,19523.55,11.13,58.26926707321386,257.18,50,spread,BULL_PUT,19300.0,19100.0,11.96,5.87,6.09,200.0,9695.5,304.5,40.0,0.37,0.45,7.28,0.01,0.0,10.0,58.11,246.39
53,C1_TREND_AUTO_1.8SD_W200,2023-10-05,2023-10-12,19545.75,19794.0,11.66,40.14982959044662,266.74,50,spread,BEAR_CALL,20050.0,20250.0,2.39,1.7,0.69,200.0,9965.5,34.5,40.0,0.07,0.1,7.22,0.0,0.0,10.0,57.4,-22.9
54,C1_TREND_AUTO_1.8SD_W200,2023-10-12,2023-10-19,19794.0,19624.7,10.99,55.720202344988714,254.61,50,spread,BULL_PUT,19350.0,19150.0,11.12,5.82,5.3,200.0,9735.0,265.0,40.0,0.35,0.42,7.28,0.01,0.0,10.0,58.06,206.94
55,C1_TREND_AUTO_1.8SD_W200,2023-11-16,2023-11-23,19765.2,19802.0,11.14,59.633225854674315,257.71,50,spread,BULL_PUT,19300.0,19100.0,7.88,4.26,3.62,200.0,9819.0,181.0,40.0,0.25,0.3,7.25,0.01,0.0,10.0,57.81,123.19
56,C1_TREND_AUTO_1.8SD_W200,2024-01-04,2024-01-11,21658.6,21647.2,14.1,65.63351030826476,357.43,50,spread,BULL_PUT,21000.0,20800.0,5.93,3.81,2.12,200.0,9894.0,106.0,40.0,0.19,0.24,7.24,0.01,0.0,10.0,57.68,48.32
57,C1_TREND_AUTO_1.8SD_W200,2024-01-11,2024-01-18,21647.2,21462.25,12.97,63.88207452713414,328.61,50,spread,BULL_PUT,21050.0,20850.0,10.92,5.17,5.75,200.0,9712.5,287.5,40.0,0.34,0.4,7.27,0.01,0.0,10.0,58.02,229.48
58,C1_TREND_AUTO_1.8SD_W200,2024-02-01,2024-02-08,21697.45,21717.95,16.05,55.517399350132656,407.59,50,spread,BULL_PUT,20950.0,20750.0,13.51,7.52,5.99,200.0,9700.5,299.5,40.0,0.42,0.53,7.29,0.01,0.0,10.0,58.26,241.24
59,C1_TREND_AUTO_1.8SD_W200,2024-02-08,2024-02-15,21717.95,21910.75,15.51,58.904552686444525,394.25,50,spread,BULL_PUT,21000.0,20800.0,15.15,7.97,7.18,200.0,9641.0,359.0,40.0,0.47,0.58,7.3,0.01,0.0,10.0,58.37,300.63
60,C1_TREND_AUTO_1.8SD_W200,2024-02-15,2024-02-22,21910.75,22217.45,15.44,55.504766979533684,395.95,50,spread,BULL_PUT,21200.0,21000.0,10.47,6.27,4.2,200.0,9790.0,210.0,40.0,0.33,0.42,7.28,0.01,0.0,10.0,58.03,151.97
61,C1_TREND_AUTO_1.8SD_W200,2024-02-22,2024-02-29,22217.45,21982.8,15.93,58.42038149298274,414.24,50,spread,BULL_PUT,21450.0,21250.0,11.91,6.52,5.39,200.0,9730.5,269.5,40.0,0.37,0.46,7.28,0.01,0.0,10.0,58.13,211.37
62,C1_TREND_AUTO_1.8SD_W200,2024-02-29,2024-03-07,21982.8,22493.55,16.33,52.08323644086654,420.15,50,spread,BULL_PUT,21250.0,21050.0,9.37,5.47,3.9,200.0,9805.0,195.0,40.0,0.29,0.37,7.27,0.01,0.0,10.0,57.94,137.06
63,C1_TREND_AUTO_1.8SD_W200,2024-03-14,2024-03-21,22146.65,22011.95,14.43,47.37572820191009,374.04,50,spread,BULL_PUT,21450.0,21250.0,9.37,5.01,4.36,200.0,9782.0,218.0,40.0,0.29,0.36,7.26,0.01,0.0,10.0,57.93,160.07
64,C1_TREND_AUTO_1.8SD_W200,2024-04-18,2024-04-25,21995.85,22570.35,12.62,45.22505324705644,324.89,50,spread,BEAR_CALL,22600.0,22800.0,14.56,5.62,8.94,200.0,9553.0,447.0,40.0,0.45,0.5,7.29,0.01,0.0,10.0,58.26,388.74
65,C1_TREND_AUTO_1.8SD_W200,2024-05-02,2024-05-09,22648.2,21957.5,12.87,57.747174753823145,341.15,25,spread,BULL_PUT,22050.0,21850.0,10.82,6.62,4.2,200.0,4895.0,-2207.5,40.0,0.17,1.37,7.45,0.0,0.0,5.0,54.0,-2261.5
66,C1_TREND_AUTO_1.8SD_W200,2024-05-09,2024-05-16,21957.5,22403.85,17.08,47.328232384410605,438.94,25,spread,BEAR_CALL,22750.0,22950.0,8.27,4.91,3.36,200.0,4916.0,84.0,40.0,0.13,0.16,7.23,0.0,0.0,5.0,52.53,31.47
67,C1_TREND_AUTO_1.8SD_W200,2024-06-06,2024-06-13,22821.4,23398.9,18.89,51.29545931764194,504.56,25,spread,BULL_PUT,21900.0,21700.0,25.62,17.75,7.87,200.0,4803.25,196.75,40.0,0.4,0.54,7.3,0.01,0.0,5.0,53.25,143.5
68,C1_TREND_AUTO_1.8SD_W200,2024-06-20,2024-06-27,23567.0,24044.5,13.71,61.63323149881307,378.16,25,spread,BULL_PUT,22900.0,22700.0,11.32,6.47,4.85,200.0,4878.75,121.25,40.0,0.18,0.22,7.24,0.0,0.0,5.0,52.64,68.61
69,C1_TREND_AUTO_1.8SD_W200,2024-06-27,2024-07-04,24044.5,24302.15,14.05,66.6508491157643,395.39,25,spread,BULL_PUT,23350.0,23150.0,21.04,12.89,8.15,200.0,4796.25,203.75,40.0,0.33,0.42,7.28,0.01,0.0,5.0,53.04,150.71
70,C1_TREND_AUTO_1.8SD_W200,2024-07-25,2024-08-01,24406.1,25010.9,11.76,60.54924205658766,335.93,25,spread,BULL_PUT,23800.0,23600.0,18.79,9.63,9.16,200.0,4771.0,229.0,40.0,0.29,0.36,7.26,0.01,0.0,5.0,52.92,176.08
71,C1_TREND_AUTO_1.8SD_W200,2024-08-14,2024-08-22,24143.75,24811.5,16.17,45.72448596188364,456.93,25,spread,BULL_PUT,23300.0,23100.0,15.3,9.53,5.77,200.0,4855.75,144.25,40.0,0.24,0.31,7.26,0.01,0.0,5.0,52.81,91.44
72,C1_TREND_AUTO_1.8SD_W200,2024-08-22,2024-08-29,24811.5,25151.95,13.33,59.621428656861966,387.1,25,spread,BULL_PUT,24100.0,23900.0,9.67,7.07,2.6,200.0,4935.0,65.0,40.0,0.15,0.21,7.24,0.01,0.0,5.0,52.6,12.4
