trade_id,date,expiry,engine_a_gross,engine_b_gross,diff_gross,engine_a_costs,engine_b_costs,diff_costs,engine_a_net,engine_b_net,diff_net
111,2025-10-20,2025-10-28,216.0,216.0,0.0,64.0,64.0,0.0,152.0,152.0,0.0
112,2025-11-11,2025-11-18,340.5,340.5,0.0,64.07,64.07,0.0,276.43,276.43,0.0
113,2025-11-18,2025-11-25,407.25,407.25,0.0,64.29,64.29,0.0,342.96,342.96,0.0
114,2025-11-25,2025-12-02,129.0,129.0,0.0,63.11,63.11,0.0,65.89,65.89,0.0
115,2025-12-02,2025-12-09,166.5,166.5,0.0,63.19,63.19,0.0,103.31,103.31,0.0
116,2025-12-09,2025-12-16,236.25,236.25,0.0,63.53,63.53,0.0,172.72,172.72,0.0
117,2025-12-16,2025-12-23,251.25,251.25,0.0,63.56,63.56,0.0,187.69,187.69,0.0
118,2025-12-30,2026-01-06,108.55,108.55,0.0,60.92,60.92,0.0,47.63,47.63,0.0
119,2026-01-06,2026-01-13,144.3,144.3,0.0,61.02,61.02,0.0,83.28,83.28,0.0
120,2026-02-10,2026-02-17,206.7,206.7,0.0,62.12,62.12,0.0,144.58,144.58,0.0
121,2026-02-17,2026-02-24,189.8,189.8,0.0,61.11,61.11,0.0,128.69,128.69,0.0
122,2026-03-02,2026-03-10,1027.0,1027.0,0.0,64.27,64.27,0.0,962.73,962.73,0.0
123,2026-04-13,2026-04-21,586.95,586.95,0.0,62.27,62.27,0.0,524.68,524.68,0.0
124,2026-04-21,2026-04-28,704.6,704.6,0.0,64.34,64.34,0.0,640.26,640.26,0.0
125,2026-05-05,2026-05-12,322.4,322.4,0.0,61.43,61.43,0.0,260.97,260.97,0.0
126,2026-05-12,2026-05-19,600.6,600.6,0.0,63.15,63.15,0.0,537.45,537.45,0.0
127,2026-05-19,2026-05-26,199.55,199.55,0.0,61.18,61.18,0.0,138.37,138.37,0.0
128,2026-06-02,2026-06-09,363.35,363.35,0.0,61.69,61.69,0.0,301.66,301.66,0.0
129,2026-06-16,2026-06-23,317.85,317.85,0.0,61.79,61.79,0.0,256.06,256.06,0.0
130,2026-06-30,2026-07-07,166.4,166.4,0.0,61.21,61.22,-0.01,105.19,105.18,0.01
131,2026-07-07,2026-07-14,318.5,318.5,0.0,61.47,61.47,0.0,257.03,257.03,0.0
132,2026-07-14,2026-07-21,704.6,704.6,0.0,63.16,63.16,0.0,641.44,641.44,0.0
133,2026-07-21,2026-07-28,466.05,466.05,0.0,62.17,62.17,0.0,403.88,403.88,0.0
134,2026-07-28,2026-08-04,253.5,253.5,0.0,61.53,61.53,0.0,191.97,191.97,0.0
135,2026-08-04,2026-08-11,670.15,670.15,0.0,62.67,62.67,0.0,607.48,607.48,0.0
136,2026-08-11,2026-08-18,260.65,260.65,0.0,61.31,61.31,0.0,199.34,199.34,0.0
137,2026-08-18,2026-08-25,228.15,228.15,0.0,61.27,61.27,0.0,166.88,166.88,0.0
138,2026-08-25,2026-09-01,162.5,162.5,0.0,61.3,61.3,0.0,101.2,101.2,0.0
139,2026-09-01,2026-09-08,215.8,215.8,0.0,61.16,61.16,0.0,154.64,154.64,0.0
