trade_id,strategy,underlying,entry_date,expiry_date,spot_entry,spot_settle,atm_strike,lot_size,margin_required,net_credit_pts,max_loss_pts,gross_pnl,brokerage,stt,exchange_charges,gst,sebi_stamp,slippage,total_costs,net_pnl,exit_reason,is_winner,contracts_json,year,year_month
OTM_STRANGLE_2025-09-03_2025-09-09,OTM_STRANGLE,NIFTY,2025-09-03,2025-09-09,24715.05,24868.6,24700.0,75,130000.0,200.0,500.0,9855.0,80.0,15.0,10.07,16.22,0.17,150.0,271.46,9583.54,EXPIRY,True,"['short_ce:24800.0CE@60.0->68.59999999999854', 'short_pe:24600.0PE@140.0->0.0']",2025,2025-09
OTM_STRANGLE_2025-09-10_2025-09-16,OTM_STRANGLE,NIFTY,2025-09-10,2025-09-16,24973.1,25239.1,24950.0,75,130000.0,170.15,425.38,-1421.25,80.0,12.76,13.47,16.83,0.45,150.0,273.52,-1694.77,EXPIRY,False,"['short_ce:25050.0CE@100.2->189.09999999999854', 'short_pe:24850.0PE@69.95->0.0']",2025,2025-09
OTM_STRANGLE_2025-09-17_2025-09-23,OTM_STRANGLE,NIFTY,2025-09-17,2025-09-23,25330.25,25169.5,25350.0,75,130000.0,169.1,422.75,6645.0,80.0,12.68,9.36,16.09,0.2,150.0,268.33,6376.67,EXPIRY,True,"['short_ce:25450.0CE@70.1->0.0', 'short_pe:25250.0PE@99.0->80.5']",2025,2025-09
OTM_STRANGLE_2025-09-26_2025-09-30,OTM_STRANGLE,NIFTY,2025-09-26,2025-09-30,24654.7,24611.1,24650.0,75,130000.0,217.2,543.0,16290.0,80.0,16.29,8.14,15.87,0.02,150.0,270.32,16019.68,EXPIRY,True,"['short_ce:24750.0CE@204.2->0.0', 'short_pe:24550.0PE@13.0->0.0']",2025,2025-09
OTM_STRANGLE_2025-10-01_2025-10-07,OTM_STRANGLE,NIFTY,2025-10-01,2025-10-07,24836.3,25108.3,24850.0,75,130000.0,199.35,498.38,3078.75,80.0,14.95,13.41,16.82,0.38,150.0,275.57,2803.18,EXPIRY,True,"['short_ce:24950.0CE@33.65->158.29999999999927', 'short_pe:24750.0PE@165.7->0.0']",2025,2025-10
OTM_STRANGLE_2025-10-08_2025-10-14,OTM_STRANGLE,NIFTY,2025-10-08,2025-10-14,25046.15,25145.5,25050.0,75,130000.0,164.7,411.75,12352.5,80.0,12.35,6.18,15.51,0.01,150.0,264.06,12088.44,EXPIRY,True,"['short_ce:25150.0CE@114.05->0.0', 'short_pe:24950.0PE@50.65->0.0']",2025,2025-10
OTM_STRANGLE_2025-10-15_2025-10-20,OTM_STRANGLE,NIFTY,2025-10-15,2025-10-20,25323.55,25843.15,25300.0,75,130000.0,192.05,480.12,-18832.5,80.0,14.4,23.82,18.7,1.04,150.0,287.96,-19120.46,EXPIRY,False,"['short_ce:25400.0CE@52.05->443.15000000000146', 'short_pe:25200.0PE@140.0->0.0']",2025,2025-10
OTM_STRANGLE_2025-10-21_2025-10-28,OTM_STRANGLE,NIFTY,2025-10-21,2025-10-28,25868.6,25936.2,25850.0,75,130000.0,203.45,508.62,15258.75,80.0,15.26,7.63,15.78,0.02,150.0,268.68,14990.07,EXPIRY,True,"['short_ce:25950.0CE@137.4->0.0', 'short_pe:25750.0PE@66.05->0.0']",2025,2025-10
OTM_STRANGLE_2025-10-29_2025-11-04,OTM_STRANGLE,NIFTY,2025-10-29,2025-11-04,26053.9,25597.65,26050.0,75,130000.0,228.5,571.25,-9288.75,80.0,17.14,21.78,18.33,0.84,150.0,288.08,-9576.83,EXPIRY,False,"['short_ce:26150.0CE@99.5->0.0', 'short_pe:25950.0PE@129.0->352.34999999999854']",2025,2025-10
OTM_STRANGLE_2025-11-06_2025-11-11,OTM_STRANGLE,NIFTY,2025-11-06,2025-11-11,25509.7,25694.95,25500.0,75,130000.0,170.3,425.75,5651.25,80.0,12.77,9.95,16.19,0.23,150.0,269.15,5382.1,EXPIRY,True,"['short_ce:25600.0CE@111.3->94.95000000000073', 'short_pe:25400.0PE@59.0->0.0']",2025,2025-11
