sess,expiry,spot,settle,vix,rsi,credit_pts,width,max_risk,lot,gross,costs,net,n_legs,oos,breach,ret_on_risk
2025-06-05,2025-06-12,24750.9,24888.2,15.75,52.34091238730007,12.81,200.0,14039.25,75,960.75,128.48,832.27,4,False,False,5.9281656783660095
2025-06-12,2025-06-19,24888.2,24793.25,13.67,62.540138423518954,13.01,200.0,14024.25,75,975.75,128.52,847.23,4,False,False,6.041178672656292
2025-06-19,2025-06-26,24793.25,25549.0,14.28,52.167620613579764,15.74,200.0,13819.5,75,1180.5,130.96,1049.54,4,False,False,7.594630775353667
2025-06-26,2025-07-03,25549.0,25405.3,12.96,60.94054446849849,13.09,200.0,14018.25,75,981.75,129.31,852.44,4,False,False,6.08093021596847
2025-07-03,2025-07-10,25405.3,25355.25,12.45,61.344148533251044,12.18,200.0,14086.5,75,913.5,128.1,785.4,4,False,False,5.575551059525077
2025-07-10,2025-07-17,25355.25,25111.45,11.94,60.61161780024753,8.76,200.0,14343.0,75,657.0,127.33,529.67,4,False,False,3.6928815450045316
2025-07-17,2025-07-24,25111.45,25062.1,11.24,51.047264820045,9.16,200.0,14313.0,75,687.0,127.29,559.71,4,False,False,3.9105009431984907
2025-07-24,2025-07-31,25062.1,24768.35,10.52,52.290459686342714,11.13,200.0,14165.25,75,834.75,127.93,706.82,4,False,False,4.989816628721696
2025-07-31,2025-08-07,24768.35,24596.15,11.21,43.253072706755916,17.72,200.0,13671.0,75,1329.0,129.79,1199.21,4,False,False,8.771925974690951
2025-09-02,2025-09-09,24579.6,24868.6,11.29,45.49939848687614,11.4,200.0,14145.0,75,855.0,127.62,727.38,4,False,False,5.142311770943796
2025-09-09,2025-09-16,24868.6,25239.1,10.84,50.387692355409506,7.62,200.0,14428.5,75,571.5,126.83,444.67,4,False,False,3.081886543992792
2025-09-16,2025-09-23,25239.1,25169.5,10.4,59.00735048227971,8.96,200.0,14328.0,75,672.0,127.23,544.77,4,False,False,3.8021356783919593
