trade_id,date,expiry,engine_a_gross,engine_b_gross,diff_gross,engine_a_costs,engine_b_costs,diff_costs,engine_a_net,engine_b_net,diff_net
147,2025-12-16,2025-12-23,627.0,627.0,0.0,127.07,127.07,0.0,499.93,499.93,0.0
148,2025-12-30,2026-01-06,360.1,360.1,0.0,121.98,121.98,0.0,238.12,238.12,0.0
149,2026-01-06,2026-01-13,289.25,289.25,0.0,121.83,121.83,0.0,167.42,167.42,0.0
150,2026-02-10,2026-02-17,404.95,404.95,0.0,123.38,123.38,0.0,281.57,281.57,0.0
151,2026-02-17,2026-02-24,538.2,538.2,0.0,123.62,123.62,0.0,414.58,414.58,0.0
152,2026-03-02,2026-03-10,2463.5,2463.5,0.0,136.05,136.05,0.0,2327.45,2327.45,0.0
153,2026-04-13,2026-04-21,1781.65,1781.65,0.0,130.7,130.7,0.0,1650.95,1650.95,0.0
154,2026-04-21,2026-04-28,991.25,991.25,0.0,125.56,125.56,0.0,865.69,865.69,0.0
155,2026-05-05,2026-05-12,663.0,663.0,0.0,123.26,123.26,0.0,539.74,539.74,0.0
156,2026-05-12,2026-05-19,1081.6,1081.6,0.0,126.11,126.11,0.0,955.49,955.49,0.0
157,2026-05-19,2026-05-26,651.95,651.95,0.0,123.73,123.73,0.0,528.22,528.22,0.0
158,2026-06-02,2026-06-09,561.6,561.6,0.0,123.04,123.04,0.0,438.56,438.56,0.0
159,2026-06-16,2026-06-23,649.35,649.35,0.0,123.34,123.34,0.0,526.01,526.01,0.0
160,2026-06-30,2026-07-07,704.6,704.6,0.0,123.24,123.24,0.0,581.36,581.36,0.0
161,2026-07-07,2026-07-14,531.05,531.05,0.0,122.51,122.51,0.0,408.54,408.54,0.0
162,2026-07-14,2026-07-21,1010.75,1010.75,0.0,124.58,124.58,0.0,886.17,886.17,0.0
163,2026-07-21,2026-07-28,713.7,713.7,0.0,123.41,123.41,0.0,590.29,590.29,0.0
164,2026-07-28,2026-08-04,518.05,518.05,0.0,122.63,122.63,0.0,395.42,395.42,0.0
165,2026-08-04,2026-08-11,824.2,824.2,0.0,123.64,123.64,0.0,700.56,700.56,0.0
166,2026-08-11,2026-08-18,482.95,482.95,0.0,122.34,122.34,0.0,360.61,360.61,0.0
167,2026-08-18,2026-08-25,521.3,521.3,0.0,122.65,122.65,0.0,398.65,398.65,0.0
168,2026-08-25,2026-09-01,294.45,294.45,0.0,122.03,122.03,0.0,172.42,172.42,0.0
169,2026-09-01,2026-09-08,689.65,689.65,0.0,123.18,123.18,0.0,566.47,566.47,0.0
